date,Temp,Pres,jO3_O2_O1D_CAFS,O3_M,H2O_M,CO_M,CH4_M,HO2_ATHOS,Altitude,[OH]_measured,[OH]_calc
2016-07-29 10:56:10-04:00,249.265,343.334,9.15041975e-06,8.64057e-08,0.000446756,7.2339667e-08,1.85312e-06,6.444,8804.58,2994316.3334987476,261295.73452998293
2016-07-29 10:56:40-04:00,248.771,337.478,9.30287975e-06,7.601130000000002e-08,0.000331923,6.90065e-08,1.851343298e-06,5.367000000000001,8931.1,2949089.0259996406,181180.58963159221
2016-07-29 10:57:10-04:00,248.851,331.741,9.397737e-06,8.291030000000002e-08,0.000158212,7.10876e-08,1.851343298e-06,4.633,9057.14,2898023.6645885357,93251.55251402307
2016-07-29 10:58:40-04:00,246.16,315.391,9.86377675e-06,8.13257e-08,0.000169148,6.80404e-08,1.851343298e-06,6.063,9425.14,2562487.81280468,108485.44974214693
2016-07-29 10:59:10-04:00,245.201,309.998,1.002861075e-05,8.14852e-08,0.000206944,6.74833e-08,1.851343298e-06,6.233,9550.39,2528521.4986888305,137061.75314342717
2016-07-29 10:59:40-04:00,244.427,306.12,1.00912825e-05,8.14756e-08,0.000200075,6.74885e-08,1.851343298e-06,5.529,9641.91,2840584.92790859,134090.39565054627
2016-07-29 11:00:10-04:00,244.156,303.651,1.02098725e-05,7.505569999999999e-08,0.000212429,6.706860000000002e-08,1.851343298e-06,4.83,9700.72,2820801.757536343,133665.25786308854
2016-07-29 11:01:40-04:00,242.718,296.709,1.04429475e-05,7.63961e-08,0.000212967,6.80144e-08,1.838535e-06,4.976,9867.89,3126974.6031984864,139606.93959340817
2016-07-29 11:02:10-04:00,242.141,294.265,1.0522482500000003e-05,7.616839999999999e-08,0.000222084,6.823930000000001e-08,1.838535e-06,5.287000000000001,9927.49,3108607.549236643,146439.11741040862
2016-07-29 11:02:40-04:00,241.609,292.028,1.056252e-05,7.50466e-08,0.000251084,6.9681333e-08,1.838535e-06,5.4670000000000005,9981.61,3564730.5584942875,161558.53867283068
2016-07-29 11:03:10-04:00,241.051,289.61400000000003,1.05720175e-05,7.25048e-08,0.000267968,6.88876e-08,1.838535e-06,6.323,10041.12,3543446.9667523,168900.78392800782
2016-07-29 11:05:50-04:00,238.662,277.45,1.097998e-05,7.83608e-08,0.000183139,6.807875900000001e-08,1.838535e-06,6.144,10346.73,3319086.637472508,133093.22358604462
2016-07-29 11:06:20-04:00,238.231,275.406,1.102224e-05,7.74065e-08,0.00019147,6.798804600000002e-08,1.838535e-06,5.876,10398.31,3300595.165853821,138529.0317737448
2016-07-29 11:06:50-04:00,238.056,274.654,1.10936733333333e-05,7.89963e-08,0.000242557,6.795688e-08,1.838535e-06,5.755,10419.27,3068271.416346806,180473.84989137002
2016-07-29 11:08:50-04:00,237.954,274.66700000000003,1.13168333333333e-05,7.497689999999999e-08,0.000212135,6.74875e-08,1.838535e-06,6.496,10418.66,3588324.250467116,153794.32540282744
2016-07-29 11:14:50-04:00,238.011,274.84,1.23844133333333e-05,8.908839999999999e-08,0.000365175,8.14969e-08,1.838535e-06,9.851,10413.93,3731974.633494895,293843.1551969349
2016-07-29 11:15:20-04:00,238.014,274.85400000000004,1.24248266666667e-05,8.89593e-08,0.000377047,8.19869e-08,1.838535e-06,10.675999999999998,10414.22,4326244.053601524,302380.5268141104
2016-07-29 11:15:50-04:00,238.114,274.857,1.25397666666667e-05,8.62246e-08,0.000402719,8.270610000000003e-08,1.838535e-06,9.931,10414.38,4324474.374897519,313436.06515283237
2016-07-29 11:16:20-04:00,238.324,274.79400000000004,1.25998133333333e-05,1.009817e-07,0.000354344,8.55423e-08,1.838535e-06,9.188,10417.33,4319673.509865635,315224.4832191417
2016-07-29 11:17:50-04:00,238.385,274.813,1.2939533333333302e-05,1.007782e-07,0.000396679,8.528360000000004e-08,1.838535e-06,8.845,10418.94,4945394.811036708,362421.1497855166
2016-07-29 11:22:50-04:00,238.622,274.833,1.37231333333333e-05,1.00111375e-07,0.000362826,8.4590915e-08,1.838535e-06,9.048,10421.16,4364967.350581399,351415.8701920979
2016-07-29 11:23:20-04:00,238.8,274.892,1.3875179999999994e-05,9.79465e-08,0.00033953,8.457091900000002e-08,1.838535e-06,8.329,10419.45,4354308.499016823,325184.7761794585
